2018.07.28 18:15:14 INFO  es[][o.e.n.Node] initializing ...
2018.07.28 18:15:15 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[SISTEMA (C:)]], net usable_space [66.8gb], net total_space [1.7tb], spins? [unknown], types [NTFS]
2018.07.28 18:15:15 INFO  es[][o.e.e.NodeEnvironment] heap size [494.9mb], compressed ordinary object pointers [true]
2018.07.28 18:15:16 INFO  es[][o.e.n.Node] node name [sonarqube], node ID [ulSatNXTS5OKHHukk49w-g]
2018.07.28 18:15:16 INFO  es[][o.e.n.Node] version[5.6.3], pid[6628], build[1a2f265/2017-10-06T20:33:39.012Z], OS[Windows 8.1/6.3/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_141/25.141-b15]
2018.07.28 18:15:16 INFO  es[][o.e.n.Node] JVM arguments [-XX:+UseConcMarkSweepGC, -XX:CMSInitiatingOccupancyFraction=75, -XX:+UseCMSInitiatingOccupancyOnly, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -Djdk.io.permissionsUseCanonicalPath=true, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j.skipJansi=true, -Xms512m, -Xmx512m, -XX:+HeapDumpOnOutOfMemoryError, -Delasticsearch, -Des.path.home=C:\Users\Aduanich\Desktop\sonarqube-7.2.1\elasticsearch]
2018.07.28 18:15:19 INFO  es[][o.e.p.PluginsService] loaded module [aggs-matrix-stats]
2018.07.28 18:15:19 INFO  es[][o.e.p.PluginsService] loaded module [ingest-common]
2018.07.28 18:15:19 INFO  es[][o.e.p.PluginsService] loaded module [parent-join]
2018.07.28 18:15:19 INFO  es[][o.e.p.PluginsService] loaded module [percolator]
2018.07.28 18:15:19 INFO  es[][o.e.p.PluginsService] loaded module [reindex]
2018.07.28 18:15:19 INFO  es[][o.e.p.PluginsService] loaded module [transport-netty4]
2018.07.28 18:15:19 INFO  es[][o.e.p.PluginsService] no plugins loaded
2018.07.28 18:15:22 INFO  es[][o.e.d.DiscoveryModule] using discovery type [zen]
2018.07.28 18:15:23 INFO  es[][o.e.n.Node] initialized
2018.07.28 18:15:23 INFO  es[][o.e.n.Node] starting ...
2018.07.28 18:15:23 INFO  es[][o.e.t.TransportService] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2018.07.28 18:15:26 INFO  es[][o.e.c.s.ClusterService] new_master {sonarqube}{ulSatNXTS5OKHHukk49w-g}{U-ZZFS_TQzi0V9a9Ap3LoA}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube}, reason: zen-disco-elected-as-master ([0] nodes joined)
2018.07.28 18:15:26 INFO  es[][o.e.n.Node] started
2018.07.28 18:15:28 INFO  es[][o.e.g.GatewayService] recovered [8] indices into cluster_state
2018.07.28 18:15:37 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[metadatas][0]] ...]).
2018.07.28 18:15:56 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.8gb[3.6%], shards will be relocated away from this node
2018.07.28 18:15:56 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] rerouting shards: [high disk watermark exceeded on one or more nodes]
2018.07.28 18:16:26 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.7gb[3.6%], shards will be relocated away from this node
