2018.08.28 22:40:55 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2018.08.28 22:40:57 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2018.08.28 22:40:58 INFO  web[][o.e.p.PluginsService] no modules loaded
2018.08.28 22:40:58 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.join.ParentJoinPlugin]
2018.08.28 22:40:58 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.percolator.PercolatorPlugin]
2018.08.28 22:40:58 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.transport.Netty4Plugin]
2018.08.28 22:40:59 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [127.0.0.1:9001]
2018.08.28 22:40:59 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 7.2.1.14109 / ec3b36b6cbe32cd9f53fa82c7ba617c703a18e4c
2018.08.28 22:41:00 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2018.08.28 22:41:00 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: C:\Users\Aduanich\Desktop\TFG ULL\Programas usados\sonarqube-7.2.1\data
2018.08.28 22:41:00 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2018.08.28 22:41:00 WARN  web[][o.s.d.DatabaseChecker] H2 database should be used for evaluation purpose only.
2018.08.28 22:41:01 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: C:\Users\Aduanich\Desktop\TFG ULL\Programas usados\sonarqube-7.2.1
2018.08.28 22:41:01 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2018.08.28 22:41:01 INFO  web[][o.s.c.e.CoreExtensionsLoader] Loaded core extensions: 
2018.08.28 22:41:02 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin Git / 1.4.1.1128 / e051f5aeb379541b13956447b5dc8b4e0b23b098
2018.08.28 22:41:02 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin LDAP / 2.2.0.608 / 79dc3fa4393a29667673c70182f3016288b548b7
2018.08.28 22:41:02 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarC# / 7.2.0.5463 / cacb8e6bb86ea1ab470dac33733e1eccfa0ccbaf
2018.08.28 22:41:02 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarFlex / 2.4.0.1222 / 68d9cb3b7daccbc4869c4f2b89d09218d26a0829
